year,timestamp,Butterfinger,100 Grand Bar,Anonymous brown globs that come in black and orange wrappers,Any full-sized candy bar,Black Jacks,Bottle Caps,Box'o'Raisins,Cadbury Creme Eggs,Candy Corn,"Vials of pure high fructose corn syrup, for main-lining into your vein",Candy that is clearly just the stuff given out for free at restaurants,"Cash, or other forms of legal tender",Chiclets,Caramellos,Snickers,Hershey's Dark Chocolate,Dental paraphenalia,Dots,Fuzzy Peaches,Generic Brand Acetaminophen,Glow sticks,Broken glow stick,Goo Goo Clusters,Good N' Plenty,Gum from baseball cards,Gummy Bears straight up,Creepy Religious comics/Chick Tracts,Healthy Fruit,Heath Bar,Hershey's Kisses,Hershey’s Milk Chocolate,Hugs (actual physical hugs),Jolly Rancher (bad flavor),Jolly Ranchers (good flavor),Kale smoothie,Kinder Happy Hippo,Kit Kat,Hard Candy,LemonHeads,Licorice (not black),Lindt Truffle,Lollipops,Mars,Mary Janes,Maynards,Milk Duds,LaffyTaffy,Minibags of chips,Reggie Jackson Bar,Pixy Stix,Nerds,Nestle Crunch,Now'n'Laters,Pencils,Milky Way,Reese’s Peanut Butter Cups,Tolberone something or other,Junior Mints,Senior Mints,Mint Kisses,Mint Juleps,Peanut M&M’s,Regular M&Ms,Rolos,Skittles,Smarties (American),Smarties (Commonwealth),Chick-o-Sticks (we don’t know what that is),Spotted Dick,Starburst,Swedish Fish,Those odd marshmallow circus peanut things,Three Musketeers,Trail Mix,Twix,Vicodin,White Bread,Whole Wheat anything,York Peppermint Patties,Necco Wafers
2015,2015-10-23 08:55:00.636000,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,1,2,1,2,1,1,1,2,2,1,1,1,1,0,2,1,1,0,1,2,2,2,2,2,2,1,1,1,0,1,1,2,2,1,2
2015,2015-10-23 08:55:06.747000,1,0,2,0,0,0,2,1,1,0,2,0,2,1,1,0,2,0,0,0,1,2,0,2,2,2,2,2,1,0,0,1,2,0,2,0,1,0,0,1,0,0,2,0,0,2,2,0,0,1,2,0,0,2,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
2015,2015-10-23 08:56:20.786000,2,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1
2015,2015-10-23 08:56:25.807000,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,1,2,1,2,2,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,0,1,2
2015,2015-10-23 08:57:21.991000,1,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,2,2,1,0,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,2,1,2,1,2,2,1,2,2,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,1,2,1,2,1,2,2,2,1,2
2015,2015-10-23 08:57:58.258000,1,1,2,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,0,2,2,2,2,1,2,1,2,2,2,0,2,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,0,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1
2015,2015-10-23 08:58:14.319000,1,1,2,1,2,1,2,2,2,2,2,1,2,1,1,1,2,0,2,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,0,2,1,2,2,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,0,1,1,0,0,2,1,0,2,2,1,1,1,1,1,2,2
2015,2015-10-23 08:58:41.946000,1,1,2,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,0,2,2,2,2,1,2,1,2,2,2,0,2,1,2,1,3,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,0,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1
2015,2015-10-23 08:59:19.520000,1,2,1,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,3,1,0,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,1,2
2015,2015-10-23 08:59:39.470000,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2015-10-23 09:00:13.192000,1,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1
2015,2015-10-23 09:00:23.153000,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,0,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2
2015,2015-10-23 09:00:41.998000,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,0,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,1,1
2015,2015-10-23 09:00:54.530000,1,1,2,1,0,0,2,2,1,1,2,1,2,1,1,1,2,0,0,0,1,2,0,0,2,1,1,2,1,1,1,2,1,1,2,0,1,0,1,2,0,2,1,0,0,2,2,1,0,1,1,1,0,2,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,2,2,1,0
2015,2015-10-23 09:01:35.966000,0,0,2,1,0,0,1,1,1,0,0,1,2,1,2,1,0,1,2,0,1,2,2,2,2,2,2,2,2,1,1,2,2,1,0,0,1,1,1,1,1,1,0,2,0,1,1,0,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,2,1,2,1,1,2,1,1,1
2015,2015-10-23 09:01:47.615000,1,0,2,1,2,0,2,1,1,0,2,1,2,0,1,0,2,1,1,0,1,2,1,2,2,1,1,0,1,0,0,0,0,1,2,0,1,0,1,3,1,0,1,1,0,0,2,0,1,1,0,1,0,0,1,1,1,0,2,2,1,1,2,1,1,1,0,0,2,1,0,2,0,0,1,1,0,0,0,2
2015,2015-10-23 09:01:51.733000,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,2
2015,2015-10-23 09:02:17.866000,1,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,2,2,1,1
2015,2015-10-23 09:02:29.423000,2,0,0,1,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,3,1,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,1,2
2015,2015-10-23 09:02:30.641000,1,1,2,1,2,2,2,1,1,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,0,1,2,2,1,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,0,1,2,2,2,1,1
2015,2015-10-23 09:03:50.779000,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,1,2,2,3,1,1,1,2,2,1,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,1,2
2015,2015-10-23 09:04:38.405000,1,1,2,1,2,0,0,0,2,2,2,1,1,1,1,0,0,2,0,2,1,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,0,1,0,0,1,1,1,1,2,2,1,1,1,1,0,1,1,2,1,1,1,2,2,2,2,1,2,0,2,2,1,2,2,2,1,2
2015,2015-10-23 09:05:03.540000,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,0,1,1,1,1,2,2,1,2
2015,2015-10-23 09:05:17.598000,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1,3,2,2,1,1,2,2,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,2,1,1,2
2015,2015-10-23 09:05:32.422000,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,1,1,2,2,2,2,0,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,0,1,2
2015,2015-10-23 09:05:42.746000,1,1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,1,2,2,3,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1
2015,2015-10-23 09:06:38.514000,1,0,2,1,0,1,2,1,2,0,2,1,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2015-10-23 09:07:14.220000,1,1,2,1,0,0,2,1,2,0,0,1,2,1,1,1,0,0,0,2,0,2,1,2,2,1,2,1,1,1,1,2,0,1,2,1,1,2,1,3,1,0,1,1,0,1,0,1,0,0,1,1,2,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,2,1,0,0,0,2,2,1,0
2015,2015-10-23 09:07:30.055000,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,1,2,1,2,2,1,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2,1,1,2,2,2,1,1,2,2,1,2,2,2,1,1
2015,2015-10-23 09:07:44.951000,1,1,2,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2
2015,2015-10-23 09:08:07.014000,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2
2015,2015-10-23 09:08:25.436000,1,1,2,1,0,1,2,1,0,0,0,1,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,1,1,2,0,1,1,1,2,0,1,1,0,0,0,0,0,1,1,1,1,0,2,1,1,1,1,0,0,0,1,1,1,1,1,0,0,2,1,0,0,1,0,1,1,0,2,0,1
2015,2015-10-23 09:09:13.494000,2,1,2,1,2,2,2,2,1,2,2,1,1,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1
2015,2015-10-23 09:09:18.073000,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,2,1,3,1,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,2,1,1
2015,2015-10-23 09:09:33.086000,2,1,2,1,2,2,2,2,1,2,2,1,1,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,1,2,0,1,2,1,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1
2015,2015-10-23 09:10:49.003000,2,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,0,2,1,2,2,1,2
2015,2015-10-23 09:10:54.658000,1,1,1,1,1,2,0,0,2,0,2,1,0,1,1,0,2,0,2,1,2,2,1,1,2,2,1,2,2,2,1,2,0,1,2,2,0,0,0,3,1,0,1,1,0,2,2,2,0,0,2,0,0,2,0,1,1,1,0,0,1,1,0,1,2,2,0,0,2,2,0,2,0,0,0,1,0,2,1,0
2015,2015-10-23 09:12:37.898000,1,2,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2
2015,2015-10-23 09:12:43.762000,2,2,1,2,2,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,1,1,3,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2
2015,2015-10-23 09:13:25.377000,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,2
2015,2015-10-23 09:13:29.059000,1,2,2,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,1,2,1,1,1,1,3,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2
2015,2015-10-23 09:13:42.601000,1,1,2,1,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,1,2,1,3,1,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2
2015,2015-10-23 09:14:02.518000,2,2,2,1,0,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2
2015,2015-10-23 09:14:28.745000,1,2,2,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,2015-10-23 09:15:07.437000,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,2015-10-23 09:15:31.712000,1,1,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,2,2,1,2,2,3,1,1,1,1,2,2,1,2,2,2,2,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2
2015,2015-10-23 09:16:25.729000,1,1,2,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,2
2015,2015-10-23 09:17:30.511000,1,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2
2015,2015-10-23 09:17:37.004000,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,2,2,1,2
2015,2015-10-23 09:18:09.399000,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1
2015,2015-10-23 09:18:38.470000,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2,2,2,1,1,2,2,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2
2015,2015-10-23 09:18:41.440000,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,3,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,2,1,2
2015,2015-10-23 09:18:45.330000,1,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,1,2,1,3,2,1,1,2,2,1,1,2,2,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,2,1,1,2,1,2,2,1,2,1,2,2,2,2,2
2015,2015-10-23 09:19:33.747000,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,1,2
2015,2015-10-23 09:19:35.469000,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,1,1,2,2,1,2,1,3,1,1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
2015,2015-10-23 09:21:10.939000,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,2,1,3,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1
