"","county","population","no_rf_prednum","no_rf_prednum_moe","no_rf_predrt","no_rf_predrt_moe","onetwo_rf_prednum","onetwo_rf_prednum_moe","onetwo_rf_predrt","onetwo_rf_predrt_moe","three_rf_prednum","three__prednum_moe","three_rf__predrt","three_rf_predrt_moe","pop_percent"
"49","Sonoma County, CA",495434,79760,24131.7,16.1,4.87,283060,35599.1,57.13,7.19,132614,32297.8,26.77,6.52,0.01267
"50","Stanislaus County, CA",547615,28796,15769.8,5.26,2.88,363715,39639.7,66.42,7.24,155104,38200.3,28.32,6.98,0.014004
"51","Sutter County, CA",96604,13278,4419.4,13.74,4.57,57971,7060.4,60.01,7.31,25355,6427,26.25,6.65,0.002471
"52","Tehama County, CA",63511,15426,3782.1,24.29,5.96,32584,4332.4,51.3,6.82,15501,3642,24.41,5.73,0.001624
"53","Trinity County, CA",12382,2279,851.3,18.41,6.88,6164,994.8,49.78,8.03,3939,881.9,31.81,7.12,0.000317
"54","Tulare County, CA",463893,46747,18042.6,10.08,3.89,280395,32691.8,60.44,7.05,136751,30386.2,29.48,6.55,0.011863
"55","Tuolumne County, CA",51520,11898,3053.3,23.09,5.93,26031,3573.8,50.53,6.94,13591,3172.6,26.38,6.16,0.001318
"56","Ventura County, CA",845869,79671,28363.1,9.42,3.35,535084,60143.3,63.26,7.11,231114,57146.6,27.32,6.76,0.021632
"57","Yolo County, CA",211490,16149,7165.5,7.64,3.39,139576,14999.2,66,7.09,55765,14132.7,26.37,6.68,0.005409
"58","Yuba County, CA",77658,12440,3959.2,16.02,5.1,46124,5765.3,59.39,7.42,19094,5048.8,24.59,6.5,0.001986
