Year,State,Month,"Cause of Death",Count
2018,CA,02,NEP,370
2018,CA,02,OTH,4019
2018,CA,02,PNF,819
2018,CA,02,STK,1342
2018,CA,02,SUI,351
2018,CA,03,ALZ,1559
2018,CA,03,CAN,5229
2018,CA,03,CLD,1442
2018,CA,03,DIA,959
2018,CA,03,HOM,117
2018,CA,03,HTD,5943
2018,CA,03,HYP,530
2018,CA,03,INJ,1211
2018,CA,03,LIV,482
2018,CA,03,NEP,365
2018,CA,03,OTH,4504
2018,CA,03,PNF,770
2018,CA,03,STK,1513
2018,CA,03,SUI,355
2018,CA,04,ALZ,1322
2018,CA,04,CAN,4819
2018,CA,04,CLD,1176
2018,CA,04,DIA,785
2018,CA,04,HOM,156
2018,CA,04,HTD,5270
2018,CA,04,HYP,434
2018,CA,04,INJ,1116
2018,CA,04,LIV,439
2018,CA,04,NEP,317
2018,CA,04,OTH,3794
2018,CA,04,PNF,556
2018,CA,04,STK,1364
2018,CA,04,SUI,353
2018,CA,05,ALZ,1291
2018,CA,05,CAN,4933
2018,CA,05,CLD,1104
2018,CA,05,DIA,753
2018,CA,05,HOM,146
2018,CA,05,HTD,5045
2018,CA,05,HYP,453
2018,CA,05,INJ,1136
2018,CA,05,LIV,442
2018,CA,05,NEP,290
2018,CA,05,OTH,3884
2018,CA,05,PNF,428
2018,CA,05,STK,1295
2018,CA,05,SUI,367
2018,CA,06,ALZ,1265
2018,CA,06,CAN,4913
2018,CA,06,CLD,959
2018,CA,06,DIA,714
2018,CA,06,HOM,181
2018,CA,06,HTD,4781
2018,CA,06,HYP,443
2018,CA,06,INJ,1178
2018,CA,06,LIV,405
2018,CA,06,NEP,322
2018,CA,06,OTH,3612
2018,CA,06,PNF,386
2018,CA,06,STK,1331
2018,CA,06,SUI,417
2018,CA,07,ALZ,1240
2018,CA,07,CAN,4952
2018,CA,07,CLD,974
2018,CA,07,DIA,775
2018,CA,07,HOM,193
2018,CA,07,HTD,4963
2018,CA,07,HYP,452
2018,CA,07,INJ,1261
2018,CA,07,LIV,424
2018,CA,07,NEP,305
2018,CA,07,OTH,3721
2018,CA,07,PNF,358
2018,CA,07,STK,1227
2018,CA,07,SUI,426
2018,CA,08,ALZ,1263
2018,CA,08,CAN,5137
2018,CA,08,CLD,947
2018,CA,08,DIA,726
2018,CA,08,HOM,177
2018,CA,08,HTD,4856
2018,CA,08,HYP,397
2018,CA,08,INJ,1216
2018,CA,08,LIV,452
2018,CA,08,NEP,305
2018,CA,08,OTH,3688
2018,CA,08,PNF,323
2018,CA,08,STK,1237
2018,CA,08,SUI,411
2018,CA,09,ALZ,1224
2018,CA,09,CAN,4928
2018,CA,09,CLD,908
2018,CA,09,DIA,686
2018,CA,09,HOM,142
2018,CA,09,HTD,4481
2018,CA,09,HYP,418
2018,CA,09,INJ,1225
2018,CA,09,LIV,431
2018,CA,09,NEP,290
2018,CA,09,OTH,3617
2018,CA,09,PNF,318
2018,CA,09,STK,1267
2018,CA,09,SUI,374
2018,CA,10,ALZ,1400
2018,CA,10,CAN,5069
2018,CA,10,CLD,939
2018,CA,10,DIA,721
2018,CA,10,HOM,155
2018,CA,10,HTD,4821
2018,CA,10,HYP,428
2018,CA,10,INJ,1175
2018,CA,10,LIV,450
2018,CA,10,NEP,305
2018,CA,10,OTH,3754
2018,CA,10,PNF,353
2018,CA,10,STK,1341
2018,CA,10,SUI,400
2018,CA,11,ALZ,1359
2018,CA,11,CAN,4942
2018,CA,11,CLD,1009
2018,CA,11,DIA,793
2018,CA,11,HOM,156
2018,CA,11,HTD,4990
2018,CA,11,HYP,438
2018,CA,11,INJ,1299
2018,CA,11,LIV,454
2018,CA,11,NEP,294
2018,CA,11,OTH,3949
2018,CA,11,PNF,442
2018,CA,11,STK,1394
2018,CA,11,SUI,368
2018,CA,12,ALZ,1437
2018,CA,12,CAN,5205
2018,CA,12,CLD,1180
2018,CA,12,DIA,880
2018,CA,12,HOM,160
2018,CA,12,HTD,5695
2018,CA,12,HYP,464
2018,CA,12,INJ,1219
2018,CA,12,LIV,479
2018,CA,12,NEP,363
2018,CA,12,OTH,4218
2018,CA,12,PNF,525
2018,CA,12,STK,1501
2018,CA,12,SUI,341
2019,CA,01,ALZ,1539
2019,CA,01,CAN,5188
2019,CA,01,CLD,1292
2019,CA,01,DIA,954
2019,CA,01,HOM,161
2019,CA,01,HTD,5985
2019,CA,01,HYP,532
2019,CA,01,INJ,1239
2019,CA,01,LIV,505
2019,CA,01,NEP,366
2019,CA,01,OTH,4609
2019,CA,01,PNF,737
2019,CA,01,STK,1517
2019,CA,01,SUI,368
2019,CA,02,ALZ,1412
2019,CA,02,CAN,4750
2019,CA,02,CLD,1200
2019,CA,02,DIA,879
2019,CA,02,HOM,138
2019,CA,02,HTD,5502
2019,CA,02,HYP,515
2019,CA,02,INJ,1171
2019,CA,02,LIV,459
2019,CA,02,NEP,363
2019,CA,02,OTH,4040
2019,CA,02,PNF,626
2019,CA,02,STK,1443
2019,CA,02,SUI,334
2019,CA,03,ALZ,1499
2019,CA,03,CAN,5084
2019,CA,03,CLD,1323
2019,CA,03,DIA,934
2019,CA,03,HOM,153
2019,CA,03,HTD,6045
2019,CA,03,HYP,529
2019,CA,03,INJ,1210
2019,CA,03,LIV,485
2019,CA,03,NEP,383
2019,CA,03,OTH,4546
2019,CA,03,PNF,705
2019,CA,03,STK,1489
2019,CA,03,SUI,382
2019,CA,04,ALZ,1371
2019,CA,04,CAN,4900
2019,CA,04,CLD,1185
2019,CA,04,DIA,799
2019,CA,04,HOM,128
2019,CA,04,HTD,5240
2019,CA,04,HYP,482
2019,CA,04,INJ,1186
2019,CA,04,LIV,441
2019,CA,04,NEP,301
2019,CA,04,OTH,4020
2019,CA,04,PNF,490
2019,CA,04,STK,1418
2019,CA,04,SUI,385
2019,CA,05,ALZ,1365
2019,CA,05,CAN,5079
2019,CA,05,CLD,1083
2019,CA,05,DIA,849
2019,CA,05,HOM,151
2019,CA,05,HTD,5133
2019,CA,05,HYP,488
2019,CA,05,INJ,1216
2019,CA,05,LIV,479
2019,CA,05,NEP,360
2019,CA,05,OTH,4009
2019,CA,05,PNF,425
2019,CA,05,STK,1442
2019,CA,05,SUI,352
2019,CA,06,ALZ,1329
2019,CA,06,CAN,4733
2019,CA,06,CLD,1042
2019,CA,06,DIA,738
