"","county","date","hospitalized_covid_patients","all_hospital_beds","icu_available_beds","icu_combined","hospital_capactity","icu_capacity"
"1079","trinity","2020-04-17","   0","    0","   0","  0","    0","   0"
"1080","mariposa","2020-04-17","   0","    0","   0","  0","    0","   0"
"1081","yuba","2020-04-17","   0","    0","   4","  4","    0","   0"
"1082","siskiyou","2020-04-17","   0","    0","   4","  0","    0","   4"
"1083","monterey","2020-04-17","   0","    0","  22","  4","    0","  18"
"1084","los angeles","2020-04-17","   0","    0"," 593","699","    0","-106"
"1085","imperial","2020-04-17","   0","    0","   3"," 12","    0","  -9"
"1086","amador","2020-04-17","   0","    0","   3","  0","    0","   3"
"1087","modoc","2020-04-17","   0","    0","   0","  0","    0","   0"
"1088","glenn","2020-04-17","   0","    0","   0","  0","    0","   0"
"1089","mendocino","2020-04-17","   0","    0","   7","  0","    0","   7"
"1090","tulare","2020-04-17","   0","    0","   6","  8","    0","  -2"
"1091","san mateo","2020-04-17","   0","    0","  22"," 17","    0","   5"
"1092","san diego","2020-04-17","   0","    0"," 157","113","    0","  44"
"1093","plumas","2020-04-17","   0","    0","   0","  0","    0","   0"
"1094","fresno","2020-04-17","   0","    0","  52"," 14","    0","  38"
"1095","humboldt","2020-04-17","   0","    0","   1","  3","    0","  -2"
"1096","napa","2020-04-17","   0","    0","  13","  0","    0","  13"
"1097","placer","2020-04-17","   0","    0","  16","  3","    0","  13"
"1098","mono","2020-04-17","   0","    0","   2","  0","    0","   2"
"1099","lassen","2020-04-17","   0","    0","   0","  0","    0","   0"
"1100","colusa","2020-04-17","   0","    0","   5","  1","    0","   4"
"1101","orange","2020-04-17","   0","    0"," 274"," 73","    0"," 201"
"1102","san benito","2020-04-17","   0","    0","   2","  0","    0","   2"
"1103","sutter","2020-04-17","   0","    0","   0","  0","    0","   0"
"1104","del norte","2020-04-17","   0","    0","   3","  1","    0","   2"
"1105","tuolumne","2020-04-17","   0","    0","   2","  0","    0","   2"
"1106","kings","2020-04-17","   0","    0","   0","  2","    0","  -2"
"1107","lake","2020-04-17","   0","    0","   3","  1","    0","   2"
"1108","tehama","2020-04-17","   0","    0","   5","  0","    0","   5"
"1109","santa cruz","2020-04-17","   0","    0","   6","  3","    0","   3"
"1110","sonoma","2020-04-17","   0","    0","  33","  4","    0","  29"
"1111","madera","2020-04-17","   0","    0","   7","  0","    0","   7"
"1112","contra costa","2020-04-17","   0","    0","  59"," 24","    0","  35"
"1113","inyo","2020-04-17","   0","    0","   5","  1","    0","   4"
"1114","yolo","2020-04-17","   0","    0","  14","  1","    0","  13"
"1115","el dorado","2020-04-17","   0","    0","  12","  1","    0","  11"
"1116","ventura","2020-04-17","   0","    0","  37"," 19","    0","  18"
"1117","san bernardino","2020-04-17","   0","    0","  82"," 91","    0","  -9"
"1118","stanislaus","2020-04-17","   0","    0","  22","  9","    0","  13"
"1119","kern","2020-04-17","   0","    0","  59"," 19","    0","  40"
"1120","shasta","2020-04-17","   0","    0","  13","  1","    0","  12"
"1121","sacramento","2020-04-17","   0","    0","  38"," 42","    0","  -4"
"1122","marin","2020-04-17","   0","    0","  15","  2","    0","  13"
"1123","butte","2020-04-17","   0","    0","   7","  6","    0","   1"
"1124","santa cruz","2020-04-18","   0","    0","  12","  2","    0","  10"
"1125","kings","2020-04-18","   0","    0","   1","  2","    0","  -1"
"1126","san benito","2020-04-18","   0","    0","   2","  0","    0","   2"
"1127","tulare","2020-04-18","   0","    0","  11","  9","    0","   2"
"1128","alameda","2020-04-18","   0","    0","  62"," 52","    0","  10"
"1129","contra costa","2020-04-18","   0","    0","  79"," 21","    0","  58"
"1130","yolo","2020-04-18","   0","    0","  14","  1","    0","  13"
"1131","san joaquin","2020-04-18","   0","    0","  38"," 15","    0","  23"
"1132","tuolumne","2020-04-18","   0","    0","   1","  0","    0","   1"
"1133","solano","2020-04-18","   0","    0","  34","  7","    0","  27"
"1134","el dorado","2020-04-18","   0","    0","  11","  2","    0","   9"
"1135","kern","2020-04-18","   0","    0","  56"," 20","    0","  36"
"1136","san bernardino","2020-04-18","   0","    0"," 107"," 83","    0","  24"
"1137","san mateo","2020-04-18","   0","    0","  37"," 16","    0","  21"
"1138","lassen","2020-04-18","   0","    0","   0","  0","    0","   0"
"1139","shasta","2020-04-18","   0","    0","  13","  1","    0","  12"
"1140","siskiyou","2020-04-18","   0","    0","   4","  1","    0","   3"
"1141","mono","2020-04-18","   0","    0","   2","  0","    0","   2"
"1142","monterey","2020-04-18","   0","    0","  38","  2","    0","  36"
"1143","calaveras","2020-04-18","   0","    0","  11","  0","    0","  11"
"1144","stanislaus","2020-04-18","   0","    0","  31","  6","    0","  25"
"1145","san diego","2020-04-18","   0","    0"," 164","108","    0","  56"
"1146","santa clara","2020-04-18","   0","    0","  84"," 80","    0","   4"
"1147","los angeles","2020-04-18","   0","    0"," 579","696","    0","-117"
"1148","sacramento","2020-04-18","   0","    0","  58"," 39","    0","  19"
"1149","butte","2020-04-18","   0","    0","  11","  2","    0","   9"
"1150","sutter","2020-04-18","   0","    0","   0","  0","    0","   0"
"1151","riverside","2020-04-18","   0","    0"," 133"," 90","    0","  43"
"1152","inyo","2020-04-18","   0","    0","   4","  1","    0","   3"
"1153","napa","2020-04-18","   0","    0","  13","  0","    0","  13"
"1154","mariposa","2020-04-18","   0","    0","   0","  0","    0","   0"
"1155","nevada","2020-04-18","   0","    0","   4","  5","    0","  -1"
"1156","trinity","2020-04-18","   0","    0","   0","  0","    0","   0"
"1157","modoc","2020-04-18","   0","    0","   0","  0","    0","   0"
"1158","glenn","2020-04-18","   0","    0","   0","  0","    0","   0"
"1159","plumas","2020-04-18","   0","    0","   0","  0","    0","   0"
"1160","yuba","2020-04-18","   0","    0","   5","  2","    0","   3"
"1161","san francisco","2020-04-18","   0","    0","  75"," 34","    0","  41"
"1162","mendocino","2020-04-18","   0","    0","   9","  0","    0","   9"
"1163","sonoma","2020-04-18","   0","    0","  32","  2","    0","  30"
"1164","imperial","2020-04-18","   0","    0","   2"," 13","    0"," -11"
"1165","orange","2020-04-18","   0","    0"," 263"," 87","    0"," 176"
"1166","santa barbara","2020-04-18","   0","    0","  60"," 19","    0","  41"
"1167","ventura","2020-04-18","   0","    0","  35"," 14","    0","  21"
"1168","san luis obispo","2020-04-18","   0","    0","  23","  5","    0","  18"
"1169","merced","2020-04-18","   0","    0","   4","  0","    0","   4"
"1170","madera","2020-04-18","   0","    0","   7","  0","    0","   7"
"1171","marin","2020-04-18","   0","    0","  13","  1","    0","  12"
"1172","del norte","2020-04-18","   0","    0","   6","  1","    0","   5"
"1173","humboldt","2020-04-18","   0","    0","   5","  0","    0","   5"
"1174","fresno","2020-04-18","   0","    0","  51"," 15","    0","  36"
"1175","tehama","2020-04-18","   0","    0","   4","  0","    0","   4"
"1176","placer","2020-04-18","   0","    0","   6","  3","    0","   3"
"1177","amador","2020-04-18","   0","    0","   3","  0","    0","   3"
"1178","colusa","2020-04-18","   0","    0","   6","  0","    0","   6"
"1179","lake","2020-04-18","   0","    0","   6","  0","    0","   6"
"1180","contra costa","2020-04-19","   0","    0","  69"," 21","    0","  48"
"1181","santa barbara","2020-04-19","   0","    0","  60"," 17","    0","  43"
"1182","modoc","2020-04-19","   0","    0","   0","  0","    0","   0"
"1183","inyo","2020-04-19","   0","    0","   5","  1","    0","   4"
"1184","fresno","2020-04-19","   0","    0","  59"," 16","    0","  43"
"1185","san bernardino","2020-04-19","   0","    0"," 107"," 79","    0","  28"
"1186","kern","2020-04-19","   0","    0","  49"," 20","    0","  29"
"1187","del norte","2020-04-19","   0","    0","   3","  0","    0","   3"
"1188","mariposa","2020-04-19","   0","    0","   0","  0","    0","   0"
"1189","marin","2020-04-19","   0","    0","  10","  4","    0","   6"
"1190","stanislaus","2020-04-19","   0","    0","  41","  8","    0","  33"
"1191","lassen","2020-04-19","   0","    0","   0","  0","    0","   0"
"1192","placer","2020-04-19","   0","    0","   6","  6","    0","   0"
"1193","napa","2020-04-19","   0","    0","  14","  0","    0","  14"
"1194","yolo","2020-04-19","   0","    0","  21","  0","    0","  21"
"1195","los angeles","2020-04-19","   0","    0"," 577","710","    0","-133"
"1196","colusa","2020-04-19","   0","    0","   6","  0","    0","   6"
"1197","mono","2020-04-19","   0","    0","   2","  0","    0","   2"
"1198","glenn","2020-04-19","   0","    0","   0","  0","    0","   0"
"1199","merced","2020-04-19","   0","    0","   4","  1","    0","   3"
"1200","solano","2020-04-19","   0","    0","  40","  9","    0","  31"
"1201","el dorado","2020-04-19","   0","    0","  11","  3","    0","   8"
"1202","san joaquin","2020-04-19","   0","    0","  32"," 14","    0","  18"
"1203","humboldt","2020-04-19","   0","    0","   7","  0","    0","   7"
"1204","ventura","2020-04-19","   0","    0","  33"," 13","    0","  20"
"1205","san francisco","2020-04-19","   0","    0","  76"," 37","    0","  39"
"1206","santa clara","2020-04-19","   0","    0"," 105"," 72","    0","  33"
"1207","monterey","2020-04-19","   0","    0","  26","  2","    0","  24"
"1208","trinity","2020-04-19","   0","    0","   0","  0","    0","   0"
"1209","shasta","2020-04-19","   0","    0","  11","  1","    0","  10"
"1210","san diego","2020-04-19","   0","    0"," 154","118","    0","  36"
"1211","san benito","2020-04-19","   0","    0","   3","  0","    0","   3"
"1212","alameda","2020-04-19","   0","    0","  61"," 42","    0","  19"
"1213","plumas","2020-04-19","   0","    0","   0","  0","    0","   0"
"1214","orange","2020-04-19","   0","    0"," 248"," 97","    0"," 151"
"1215","madera","2020-04-19","   0","    0","   7","  0","    0","   7"
"1216","siskiyou","2020-04-19","   0","    0","   4","  1","    0","   3"
"1217","imperial","2020-04-19","   0","    0","   1"," 13","    0"," -12"
"1218","tulare","2020-04-19","   0","    0","  13","  9","    0","   4"
"1219","lake","2020-04-19","   0","    0","   5","  0","    0","   5"
"1220","san mateo","2020-04-19","   0","    0","  22"," 18","    0","   4"
"1221","calaveras","2020-04-19","   0","    0","  11","  0","    0","  11"
"1222","tehama","2020-04-19","   0","    0","   5","  0","    0","   5"
"1223","nevada","2020-04-19","   0","    0","   4","  5","    0","  -1"
"1224","sutter","2020-04-19","   0","    0","   0","  0","    0","   0"
"1225","santa cruz","2020-04-19","   0","    0","  13","  1","    0","  12"
"1226","sonoma","2020-04-19","   0","    0","  27","  2","    0","  25"
"1227","tuolumne","2020-04-19","   0","    0","   2","  0","    0","   2"
"1228","mendocino","2020-04-19","   0","    0","   9","  0","    0","   9"
"1229","yuba","2020-04-19","   0","    0","   5","  2","    0","   3"
"1230","kings","2020-04-19","   0","    0","   0","  3","    0","  -3"
"1231","san luis obispo","2020-04-19","   0","    0","  27","  3","    0","  24"
"1232","sacramento","2020-04-19","   0","    0","  59"," 33","    0","  26"
"1233","riverside","2020-04-19","   0","    0"," 145"," 98","    0","  47"
"1234","amador","2020-04-19","   0","    0","   2","  0","    0","   2"
"1235","butte","2020-04-19","   0","    0","  11","  1","    0","  10"
"1236","amador","2020-04-20","   0","    0","   4","  0","    0","   4"
"1237","los angeles","2020-04-20","   0","    0"," 607","718","    0","-111"
"1238","riverside","2020-04-20","   0","    0"," 133","101","    0","  32"
"1239","mono","2020-04-20","   0","    0","   2","  0","    0","   2"
"1240","yuba","2020-04-20","   0","    0","   7","  1","    0","   6"
"1241","tehama","2020-04-20","   0","    0","   6","  0","    0","   6"
"1242","modoc","2020-04-20","   0","    0","   0","  0","    0","   0"
"1243","shasta","2020-04-20","   0","    0","  16","  1","    0","  15"
"1244","monterey","2020-04-20","   0","    0","  23","  3","    0","  20"
"1245","glenn","2020-04-20","   0","    0","   0","  0","    0","   0"
"1246","marin","2020-04-20","   0","    0","  11","  3","    0","   8"
"1247","napa","2020-04-20","   0","    0","   8","  1","    0","   7"
"1248","imperial","2020-04-20","   0","    0","   1"," 13","    0"," -12"
"1249","sacramento","2020-04-20","   0","    0","  62"," 41","    0","  21"
"1250","placer","2020-04-20","   0","    0","  15","  3","    0","  12"
"1251","fresno","2020-04-20","   0","    0","  55"," 16","    0","  39"
"1252","mariposa","2020-04-20","   0","    0","   0","  0","    0","   0"
"1253","merced","2020-04-20","   0","    0","   6","  1","    0","   5"
"1254","san luis obispo","2020-04-20","   0","    0","  28","  2","    0","  26"
"1255","santa barbara","2020-04-20","   0","    0","  61"," 22","    0","  39"
"1256","san benito","2020-04-20","   0","    0","   3","  0","    0","   3"
"1257","san mateo","2020-04-20","   0","    0","  19"," 22","    0","  -3"
"1258","orange","2020-04-20","   0","    0"," 184"," 94","    0","  90"
"1259","plumas","2020-04-20","   0","    0","   0","  0","    0","   0"
"1260","lassen","2020-04-20","   0","    0","   0","  0","    0","   0"
"1261","nevada","2020-04-20","   0","    0","   7","  3","    0","   4"
"1262","san bernardino","2020-04-20","   0","    0"," 150"," 88","    0","  62"
"1263","sutter","2020-04-20","   0","    0","   0","  0","    0","   0"
"1264","kings","2020-04-20","   0","    0","   3","  3","    0","   0"
"1265","inyo","2020-04-20","   0","    0","   4","  1","    0","   3"
"1266","kern","2020-04-20","   0","    0","  51"," 14","    0","  37"
"1267","humboldt","2020-04-20","   0","    0","   4","  0","    0","   4"
"1268","sonoma","2020-04-20","   0","    0","  29","  6","    0","  23"
"1269","trinity","2020-04-20","   0","    0","   0","  0","    0","   0"
"1270","el dorado","2020-04-20","   0","    0","  13","  0","    0","  13"
"1271","san joaquin","2020-04-20","   0","    0","  18"," 20","    0","  -2"
"1272","calaveras","2020-04-20","   0","    0","  11","  0","    0","  11"
"1273","stanislaus","2020-04-20","   0","    0","  34"," 11","    0","  23"
"1274","tuolumne","2020-04-20","   0","    0","   2","  0","    0","   2"
"1275","madera","2020-04-20","   0","    0","   7","  0","    0","   7"
"1276","ventura","2020-04-20","   0","    0","  27"," 10","    0","  17"
"1277","del norte","2020-04-20","   0","    0","   1","  1","    0","   0"
"1278","siskiyou","2020-04-20","   0","    0","   5","  1","    0","   4"
"1279","yolo","2020-04-20","   0","    0","  14","  0","    0","  14"
"1280","solano","2020-04-20","   0","    0","  36","  9","    0","  27"
"1281","colusa","2020-04-20","   0","    0","   5","  0","    0","   5"
"1282","contra costa","2020-04-20","   0","    0","  75"," 21","    0","  54"
"1283","alameda","2020-04-20","   0","    0","  59"," 42","    0","  17"
"1284","butte","2020-04-20","   0","    0","   9","  1","    0","   8"
"1285","san francisco","2020-04-20","   0","    0","  73"," 34","    0","  39"
"1286","santa clara","2020-04-20","   0","    0"," 115"," 76","    0","  39"
"1287","tulare","2020-04-20","   0","    0","  15","  9","    0","   6"
"1288","lake","2020-04-20","   0","    0","   0","  1","    0","  -1"
"1289","mendocino","2020-04-20","   0","    0","   7","  0","    0","   7"
"1290","san diego","2020-04-20","   0","    0"," 149","108","    0","  41"
"1291","santa cruz","2020-04-20","   0","    0","  11","  1","    0","  10"
"1292","san benito","2020-04-21","   1","   25","   2","  0","   24","   2"
"1293","","2020-04-21","   0","    0","   0","  0","    0","   0"
"1294","glenn","2020-04-21","   0","    0","   0","  0","    0","   0"
"1295","stanislaus","2020-04-21","  31"," 1400","  72"," 11"," 1369","  61"
"1296","siskiyou","2020-04-21","   1","   36","   5","  1","   35","   4"
"1297","imperial","2020-04-21","  35","  161","   1"," 12","  126"," -11"
"1298","plumas","2020-04-21","   0","    9","   0","  0","    9","   0"
"1299","colusa","2020-04-21","   1","   80","   4","  1","   79","   3"
"1300","los angeles","2020-04-21","2471","13663"," 941","724","11192"," 217"
"1301","mendocino","2020-04-21","   1","  151","   9","  0","  150","   9"
"1302","san diego","2020-04-21"," 305"," 3776"," 161","119"," 3471","  42"
"1303","el dorado","2020-04-21","   3","  155","  12","  0","  152","  12"
"1304","san joaquin","2020-04-21","  51","  544","  30"," 21","  493","   9"
"1305","san francisco","2020-04-21"," 121","  738","  79"," 34","  617","  45"
"1306","kings","2020-04-21","   8","  223","   6","  3","  215","   3"
"1307","kern","2020-04-21","  43"," 1171","  57"," 14"," 1128","  43"
"1308","sutter","2020-04-21","   0","    0","   0","  0","    0","   0"
"1309","napa","2020-04-21","   2","  387","   9","  1","  385","   8"
"1310","trinity","2020-04-21","   0","   54","   0","  0","   54","   0"
"1311","del norte","2020-04-21","   1","    0","   3","  0","   -1","   3"
"1312","inyo","2020-04-21","   1","   50","   3","  1","   49","   2"
"1313","shasta","2020-04-21","   1","  279","  16","  1","  278","  15"
"1314","calaveras","2020-04-21","   0","   50","  12","  0","   50","  12"
"1315","marin","2020-04-21","   9","  242","  11","  3","  233","   8"
"1316","santa barbara","2020-04-21","  34","  415","  82"," 18","  381","  64"
"1317","placer","2020-04-21","  22","    0","  11","  4","  -22","   7"
"1318","mariposa","2020-04-21","   1","    0","   0","  0","   -1","   0"
"1319","mono","2020-04-21","   0","   17","   2","  0","   17","   2"
"1320","nevada","2020-04-21","   5","   58","   7","  3","   53","   4"
"1321","san mateo","2020-04-21","  67","  395","  33"," 21","  328","  12"
"1322","fresno","2020-04-21","  70","  764","  46"," 18","  694","  28"
"1323","sacramento","2020-04-21","  93","   50","  72"," 29","  -43","  43"
"1324","solano","2020-04-21","  23","  204","  38","  2","  181","  36"
"1325","lake","2020-04-21","   2","   58","   6","  0","   56","   6"
"1326","alameda","2020-04-21"," 144","  591","  66"," 50","  447","  16"
"1327","san bernardino","2020-04-21"," 357"," 2714"," 142"," 87"," 2357","  55"
"1328","modoc","2020-04-21","   1","   20","   0","  0","   19","   0"
"1329","san luis obispo","2020-04-21","   6","  303","  25","  4","  297","  21"
"1330","tehama","2020-04-21","   0","    0","   3","  0","    0","   3"
"1331","amador","2020-04-21","   0","    0","   2","  0","    0","   2"
"1332","yolo","2020-04-21","   7","    0","  15","  1","   -7","  14"
"1333","lassen","2020-04-21","   1","    0","   0","  0","   -1","   0"
"1334","santa clara","2020-04-21"," 178"," 2582"," 120"," 86"," 2404","  34"
"1335","merced","2020-04-21","   3","    0","   4","  2","   -3","   2"
"1336","santa cruz","2020-04-21","   5","  351","  16","  1","  346","  15"
"1337","contra costa","2020-04-21","  77"," 1037","  71"," 24","  960","  47"
"1338","ventura","2020-04-21","  56","  976","  25"," 19","  920","   6"
"1339","tuolumne","2020-04-21","   0","   90","   3","  0","   90","   3"
"1340","tulare","2020-04-21","  27","  276","  15","  9","  249","   6"
"1341","yuba","2020-04-21","   0","  445","  16","  0","  445","  16"
"1342","orange","2020-04-21"," 308"," 4213"," 277","104"," 3905"," 173"
"1343","madera","2020-04-21","   5","    0","  15","  0","   -5","  15"
"1344","monterey","2020-04-21","  11","  875","  68","  3","  864","  65"
"1345","riverside","2020-04-21"," 370"," 2726"," 112","113"," 2356","  -1"
"1346","butte","2020-04-21","   1","  424","  19","  1","  423","  18"
"1347","sonoma","2020-04-21","  19","  575","  28","  6","  556","  22"
"1348","humboldt","2020-04-21","   5","  308","   6","  0","  303","   6"
"1349","yuba","2020-04-22","   0","  445","  13","  0","  445","  13"
"1350","sutter","2020-04-22","   0","    0","   0","  0","    0","   0"
"1351","trinity","2020-04-22","   0","   54","   0","  0","   54","   0"
"1352","solano","2020-04-22","  28","  204","  32","  4","  176","  28"
"1353","san joaquin","2020-04-22","  57","  632","  25"," 18","  575","   7"
"1354","san benito","2020-04-22","   0","   25","   1","  0","   25","   1"
"1355","santa barbara","2020-04-22","  34","  427","  88"," 16","  393","  72"
"1356","sonoma","2020-04-22","  19","  596","  27","  7","  577","  20"
"1357","mendocino","2020-04-22","   0","  151","   7","  0","  151","   7"
"1358","lassen","2020-04-22","   1","   25","   0","  0","   24","   0"
"1359","mono","2020-04-22","   0","   17","   2","  0","   17","   2"
"1360","mariposa","2020-04-22","   0","   30","   0","  0","   30","   0"
"1361","calaveras","2020-04-22","   0","   50","  12","  0","   50","  12"
"1362","siskiyou","2020-04-22","   1","   65","   4","  1","   64","   3"
"1363","san francisco","2020-04-22","  92","  738","  74"," 31","  646","  43"
"1364","fresno","2020-04-22","  79","  748","  52"," 18","  669","  34"
"1365","stanislaus","2020-04-22","  33"," 1421","  58"," 11"," 1388","  47"
"1366","kern","2020-04-22","  57"," 1167","  58"," 15"," 1110","  43"
"1367","contra costa","2020-04-22","  84"," 1031","  75"," 27","  947","  48"
"1368","sacramento","2020-04-22","  70","   50","  79"," 23","  -20","  56"
"1369","san bernardino","2020-04-22"," 345"," 3830"," 167"," 86"," 3485","  81"
"1370","plumas","2020-04-22","   0","    9","   0","  0","    9","   0"
"1371","humboldt","2020-04-22","   8","  310","   8","  1","  302","   7"
"1372","glenn","2020-04-22","   0","    0","   0","  0","    0","   0"
"1373","alameda","2020-04-22"," 145"," 1141","  46"," 55","  996","  -9"
"1374","los angeles","2020-04-22","2448","17405","1215","727","14957"," 488"
"1375","inyo","2020-04-22","   1","   50","   4","  1","   49","   3"
"1376","imperial","2020-04-22","  34","  161","   1"," 12","  127"," -11"
"1377","placer","2020-04-22","  25","    0","  10","  2","  -25","   8"
"1378","marin","2020-04-22","  15","  242","  12","  7","  227","   5"
"1379","madera","2020-04-22","   3","  568","  22","  0","  565","  22"
"1380","tuolumne","2020-04-22","   1","  151","   2","  0","  150","   2"
"1381","amador","2020-04-22","   1","    0","   3","  0","   -1","   3"
"1382","kings","2020-04-22","   9","  192","   3","  3","  183","   0"
"1383","ventura","2020-04-22","  57"," 1049","  33"," 17","  992","  16"
"1384","yolo","2020-04-22","   4","    0","  14","  1","   -4","  13"
"1385","riverside","2020-04-22"," 333"," 3668"," 176","109"," 3335","  67"
"1386","nevada","2020-04-22","   1","   57","   8","  1","   56","   7"
"1387","shasta","2020-04-22","   1","  279","  14","  1","  278","  13"
"1388","merced","2020-04-22","   6","    0","   4","  0","   -6","   4"
"1389","lake","2020-04-22","   3","   58","   4","  1","   55","   3"
"1390","tehama","2020-04-22","   0","    0","   4","  0","    0","   4"
"1391","napa","2020-04-22","   3","  387","  11","  1","  384","  10"
"1392","santa clara","2020-04-22"," 176"," 2741"," 157"," 77"," 2565","  80"
"1393","san luis obispo","2020-04-22","   8","  303","  25","  4","  295","  21"
"1394","monterey","2020-04-22","   9","  875","  95","  3","  866","  92"
"1395","modoc","2020-04-22","   0","   12","   0","  0","   12","   0"
"1396","san diego","2020-04-22"," 318"," 5467"," 365","125"," 5149"," 240"
"1397","orange","2020-04-22"," 283"," 4786"," 293"," 94"," 4503"," 199"
"1398","san mateo","2020-04-22","  67","  395","  32"," 17","  328","  15"
"1399","tulare","2020-04-22","  27","  226","  25","  9","  199","  16"
"1400","del norte","2020-04-22","   2","    0","   3","  1","   -2","   2"
"1401","el dorado","2020-04-22","   5","  165","  13","  1","  160","  12"
"1402","santa cruz","2020-04-22","   7","  351","  10","  2","  344","   8"
"1403","colusa","2020-04-22","   1","   80","   4","  1","   79","   3"
"1404","butte","2020-04-22","   0","  424","  17","  1","  424","  16"
"1405","los angeles","2020-04-23","2458","21107","1263","718","18649"," 545"
"1406","colusa","2020-04-23","   1","   80","   4","  1","   79","   3"
"1407","madera","2020-04-23","   3","  568","  16","  1","  565","  15"
"1408","san mateo","2020-04-23","  72","  517","  35"," 17","  445","  18"
"1409","santa cruz","2020-04-23","   6","  351","   9","  1","  345","   8"
"1410","glenn","2020-04-23","   0","    0","   0","  0","    0","   0"
"1411","riverside","2020-04-23"," 340"," 3526"," 232","107"," 3186"," 125"
"1412","el dorado","2020-04-23","   8","  173","  15","  1","  165","  14"
"1413","fresno","2020-04-23","  78","  748","  52"," 20","  670","  32"
"1414","imperial","2020-04-23","  27","  240","   1","  9","  213","  -8"
"1415","humboldt","2020-04-23","   7","  310","   4","  1","  303","   3"
"1416","santa barbara","2020-04-23","  40","  717","  90"," 17","  677","  73"
"1417","san benito","2020-04-23","   0","   25","   1","  0","   25","   1"
"1418","calaveras","2020-04-23","   1","   50","  11","  1","   49","  10"
"1419","monterey","2020-04-23","  12","  875"," 122","  5","  863"," 117"
"1420","mendocino","2020-04-23","   1","  151","   7","  1","  150","   6"
"1421","lake","2020-04-23","   1","   58","   4","  0","   57","   4"
"1422","modoc","2020-04-23","   0","   12","   0","  0","   12","   0"
"1423","ventura","2020-04-23","  49"," 1305","  47"," 15"," 1256","  32"
"1424","inyo","2020-04-23","   1","   50","   5","  1","   49","   4"
"1425","yuba","2020-04-23","   2","  445","   9","  2","  443","   7"
"1426","mariposa","2020-04-23","   1","   30","   0","  0","   29","   0"
"1427","trinity","2020-04-23","   0","   54","   0","  0","   54","   0"
"1428","del norte","2020-04-23","   6","    0","   3","  3","   -6","   0"
"1429","nevada","2020-04-23","   4","  116","   6","  1","  112","   5"
"1430","alameda","2020-04-23"," 171"," 1129","  95"," 61","  958","  34"
"1431","lassen","2020-04-23","   0","   25","   0","  0","   25","   0"
"1432","tuolumne","2020-04-23","   0","  151","   2","  0","  151","   2"
"1433","san luis obispo","2020-04-23","   5","  526","  30","  2","  521","  28"
"1434","kings","2020-04-23","   9","  192","   4","  3","  183","   1"
"1435","san francisco","2020-04-23"," 104"," 1173","  70"," 37"," 1069","  33"
"1436","santa clara","2020-04-23"," 165"," 2741"," 137"," 72"," 2576","  65"
"1437","napa","2020-04-23","   2","  387","   2","  1","  385","   1"
"1438","tehama","2020-04-23","   0","  106","   4","  0","  106","   4"
"1439","orange","2020-04-23"," 313"," 5251"," 293","100"," 4938"," 193"
"1440","contra costa","2020-04-23","  82"," 1031","  81"," 26","  949","  55"
"1441","kern","2020-04-23","  41"," 1429","  63"," 17"," 1388","  46"
"1442","placer","2020-04-23","  25","    0","  11","  2","  -25","   9"
"1443","tulare","2020-04-23","  31","  882","  16"," 11","  851","   5"
"1444","amador","2020-04-23","   1","    0","   2","  0","   -1","   2"
"1445","sutter","2020-04-23","   0","    0","   0","  0","    0","   0"
"1446","solano","2020-04-23","  26","  204","  31","  9","  178","  22"
"1447","plumas","2020-04-23","   0","    9","   0","  0","    9","   0"
"1448","butte","2020-04-23","   0","  424","  14","  1","  424","  13"
"1449","sonoma","2020-04-23","  20","  615","  48","  5","  595","  43"
"1450","mono","2020-04-23","   0","   17","   2","  0","   17","   2"
"1451","san diego","2020-04-23"," 318"," 5501"," 389","117"," 5183"," 272"
"1452","shasta","2020-04-23","   1","  645","  16","  1","  644","  15"
"1453","yolo","2020-04-23","   4","  130","  14","  1","  126","  13"
"1454","merced","2020-04-23","   2","  206","   7","  0","  204","   7"
"1455","marin","2020-04-23","  17","  242","  12","  6","  225","   6"
"1456","sacramento","2020-04-23","  88","  737","  80"," 24","  649","  56"
"1457","siskiyou","2020-04-23","   1","   65","   4","  1","   64","   3"
"1458","san joaquin","2020-04-23","  65"," 1047","  25"," 21","  982","   4"
"1459","stanislaus","2020-04-23","  31"," 1421","  62","  8"," 1390","  54"
"1460","san bernardino","2020-04-23"," 240"," 4516"," 175"," 73"," 4276"," 102"
"1461","sacramento","2020-04-24","  90","  737"," 121"," 28","  647","  93"
"1462","kern","2020-04-24","  47"," 1715","  59"," 17"," 1668","  42"
"1463","marin","2020-04-24","  13","  242","  12","  4","  229","   8"
"1464","butte","2020-04-24","   4","  424","  18","  3","  420","  15"
"1465","modoc","2020-04-24","   0","   12","   0","  0","   12","   0"
"1466","del norte","2020-04-24","   4","    0","   6","  0","   -4","   6"
"1467","tulare","2020-04-24","  33","  882","  19"," 11","  849","   8"
"1468","sonoma","2020-04-24","  23","  616","  45","  3","  593","  42"
"1469","placer","2020-04-24","  22","    0","  43","  2","  -22","  41"
"1470","santa cruz","2020-04-24","   5","  351","  12","  2","  346","  10"
"1471","mendocino","2020-04-24","   1","  151","   9","  0","  150","   9"
"1472","plumas","2020-04-24","   0","    9","   0","  0","    9","   0"
"1473","mariposa","2020-04-24","   0","   30","   0","  0","   30","   0"
"1474","colusa","2020-04-24","   1","   80","   5","  1","   79","   4"
"1475","fresno","2020-04-24","  78","  748","  47"," 20","  670","  27"
"1476","stanislaus","2020-04-24","  27"," 1421","  58","  8"," 1394","  50"
